AB,airdrie,6.546703296703297
AB,alberta beach,9.321428571428571
AB,athabasca,8.571428571428571
AB,athabasca county,9.238095238095239
AB,banff,8.214285714285715
AB,barrhead,5.625
AB,beaumont,7.761904761904762
AB,bonnyville,9.761904761904761
AB,brooks,8.571428571428571
AB,calgary,7.089225427268884
AB,camrose,5.357142857142857
AB,camrose county,7.142857142857143
AB,canmore,6.553571428571429
AB,chestermere,6.25
AB,chipewyan 201a,20.0
AB,coaldale,10.0
AB,cochrane,7.476190476190477
AB,cold lake,7.946428571428571
AB,cremona,8.377777777777776
AB,crowsnest pass,8.571428571428571
AB,devon,8.5
AB,didsbury,7.261904761904762
AB,drayton valley,8.75
AB,edgerton,7.142857142857143
AB,edmonton,7.324605404687662
AB,edson,7.595238095238096
AB,foremost,5.357142857142857
AB,fort mackay,8.657142857142857
AB,fort saskatchewan,8.80952380952381
AB,gibbons,6.357142857142858
AB,grande cache,8.571428571428571
AB,grande prairie,7.602678571428572
AB,grande prairie county no. 1,7.658730158730159
AB,high level,10.714285714285714
AB,high prairie,8.157142857142857
AB,high river,5.736607142857142
AB,hinton,5.714285714285714
AB,hythe,10.0
AB,jasper,7.410714285714285
AB,lac la biche county,7.410714285714286
AB,lacombe,8.071428571428571
AB,leduc,6.5194805194805205
AB,leduc county,5.339285714285714
AB,lethbridge,7.812717770034846
AB,lethbridge county,5.618303571428571
AB,lloydminster (part),8.13961038961039
AB,medicine hat,6.280032467532467
AB,morinville,7.142857142857143
AB,okotoks,7.053571428571429
AB,olds,7.857142857142858
AB,parkland county,6.785714285714286
AB,peace river,8.571428571428571
AB,penhold,8.571428571428571
AB,pincher creek,8.571428571428571
AB,ponoka,7.142857142857143
AB,provost,4.8
AB,red deer,7.230747360927841
AB,red deer county,6.666666666666667
AB,rocky mountain house,10.178571428571429
AB,slave lake,9.53125
AB,spruce grove,6.796703296703296
AB,st. albert,7.842857142857143
AB,stony plain,9.285714285714285
AB,strathcona county,8.928571428571427
AB,strathmore,9.404761904761903
AB,sucker creek 150a,6.428571428571429
AB,sundre,7.142857142857143
AB,sylvan lake,4.142857142857142
AB,taber,5.357142857142857
AB,thorhild county,3.5714285714285716
AB,tofield,8.571428571428571
AB,valleyview,15.0
AB,vegreville,8.071428571428571
AB,vermilion,5.714285714285714
AB,wabasca 166,9.285714285714286
AB,wainwright,7.142857142857143
AB,westlock,6.607142857142857
AB,westlock county,6.0
AB,wetaskiwin,8.380952380952381
AB,whitecourt,7.904761904761905
AB,wood buffalo,7.040816326530613
BC,105 mile post 2,10.714285714285715
BC,abbotsford,5.7383563594929505
BC,alert bay,14.0
BC,barriere,4.821428571428571
BC,boston bar 1a,14.285714285714286
BC,bridge river 1,5.892857142857143
BC,burnaby,6.484465362372339
BC,burns lake,5.357142857142858
BC,campbell river,6.978571428571429
BC,campbell river 11,5.0
BC,castlegar,8.142857142857142
BC,central saanich,6.25
BC,chemainus 13,6.464285714285715
BC,chetwynd,7.196428571428571
BC,chilliwack,5.469924812030075
BC,clearwater,5.357142857142857
BC,comox,5.306122448979592
BC,comox valley a,4.285714285714286
BC,coquitlam,6.888011988011988
BC,coquitlam 1,10.0
BC,courtenay,5.447544642857142
BC,cowichan,7.142857142857143
BC,cowichan valley a,5.714285714285714
BC,cranbrook,6.47016806722689
BC,creston,5.892857142857143
BC,cumberland,6.071428571428571
BC,dawson creek,7.4107142857142865
BC,delta,6.7857142857142865
BC,duncan,5.7779591836734685
BC,fernie,7.142857142857143
BC,fort nelson 2,6.071428571428571
BC,fort st. john,8.0
BC,galiano island 9,5.0
BC,gibsons,4.598214285714286
BC,golden,4.166666666666667
BC,grand forks,6.25
BC,greater vancouver a,7.298466573353469
BC,greenwood,6.428571428571429
BC,hope,7.162023809523809
BC,hope island 1,7.142857142857143
BC,houston,10.0
BC,invermere,6.25
BC,kamloops,6.206819905825766
BC,kamloops 1,7.904761904761905
BC,kelowna,5.901638370806873
BC,kimberley,5.357142857142858
BC,kitimat,6.785714285714286
BC,kootenay boundary c / christina lake,5.357142857142857
BC,ladysmith,8.625
BC,langley,6.4748902122563035
BC,langley 5,6.904761904761905
BC,mackenzie,5.25
BC,maple ridge,8.498376623376624
BC,masset,6.428571428571429
BC,merritt,5.0
BC,mission,5.343523809523809
BC,nakusp,3.3928571428571432
BC,nanaimo,5.893421222390634
BC,nanaimo a,5.5102040816326525
BC,nanaimo town 1,8.047619047619047
BC,nelson,5.843537414965986
BC,new hazelton,3.5714285714285716
BC,new westminster,5.511363636363637
BC,north vancouver,8.269511545722997
BC,oliver,5.0
BC,parksville,3.7142857142857144
BC,pemberton,5.714285714285714
BC,penticton,6.228021978021977
BC,penticton 1,7.142857142857143
BC,pitt meadows,8.571428571428571
BC,port alberni,5.0
BC,port alice,6.668773704171935
BC,port clements,3.9285714285714284
BC,port coquitlam,6.23015873015873
BC,port hardy,5.267857142857143
BC,port mcneill,4.285714285714286
BC,powell river,4.928571428571429
BC,prince george,6.667438775510205
BC,prince rupert,4.821428571428571
BC,princeton,3.5714285714285716
BC,qualicum beach,5.714285714285714
BC,queen charlotte,10.071428571428571
BC,quesnel,4.732142857142858
BC,richmond,6.42436974789916
BC,rossland,7.542857142857143
BC,saanich,7.142857142857143
BC,salmo,2.857142857142857
BC,salmon arm,7.901785714285715
BC,sechelt,5.142857142857142
BC,sechelt (part),8.43
BC,skeena-queen charlotte a,20.0
BC,smithers,7.261904761904762
BC,sooke,7.732142857142858
BC,squamish,6.517857142857143
BC,sun peaks mountain,5.714285714285714
